ADR_CP	ADR_VILLE	ADR_PAYS	ID_ANO
75020	PARIS 20EME ARRONDISSEMENT	FR	41180769
75015	PARIS	FR	17483038
75020	PARIS	FR	84069923
93120	LA COURNEUVE	FR	77983927
75017	PARIS	FR	8852696
0	INCONNUE	FR	65282493
0	INCONNUE	FR	29921366
0	INCONNUE	FR	85721543
0	INCONNUE	FR	78831055
0	INCONNUE	FR	38615752
0	INCONNUE	FR	53406888
95000	CERGY	FR	47109225
31840	AUSSONNE	FR	11355816
29270	PLONEOUR LANVERN	FR	51574255
0	INCONNUE	FR	93318607
95000	CERGY PONTOISE	FR	34264695
95800	cergy	FR	65593090
31130	BALMA	FR	88286359
78700	CONFLANS SAINTE HONORINE	FR	85145976
64000	PAU	FR	1507655
95800	CERGY	FR	47581497
0	INCONNUE	FR	49189698
95000	NEUVILLE SUR OISE	FR	99283881
38080	L'ISLE D'ABEAU	FR	3494030
40130	CAPBRETON	FR	41937958
95000	CERGY	FR	46823223
64320	SENDETS	FR	33000751
34690	FABREGUES	FR	10738243
0	INCONNUE	FR	70820317
95420	MAGNY EN VEXIN	FR	83949552
0	INCONNUE	FR	43979674
0	INCONNUE	FR	26959650
0	INCONNUE	FR	72128469
0	INCONNUE	FR	11578952
95450	THEMERICOURT	FR	26243482
64320	BIZANOS	FR	5446269
0	INCONNUE	FR	53581958
97351	MATOURY	FR	35361568
76130	MONT SAINT AIGNAN	FR	75807525
0	INCONNUE	FR	44107247
95660	CHAMPAGNE-SUR-OISE	FR	84522431
0	INCONNUE	FR	21990517
62650	MANINGHEM AU MONT	FR	87472152
95014	CERGY	FR	88278624
27150	MORGNY	FR	58735423
95000	CERGY	FR	21293628
91170	VIRY CHATILLON	FR	5371279
77610	MARLES-EN-BRIE	FR	7357595
75017	PARIS	FR	21023228
78800	HOUILLES	FR	73354968
92270	BOIS-COLOMBES	FR	23146429
95520	OSNY	FR	93120120
64000	PAU	FR	69098305
65200	VISKER	FR	75863704
0	INCONNUE	FR	47131653
0	INCONNUE	FR	83118726
10440	TORVILLIERS	FR	64306260
64000	PAU	FR	17070674
95000	CERGY	FR	88722169
0	INCONNUE	FR	79673011
0	LISBONNE	PT	49232044
83200	TOULON	FR	73901039
64160	SAINT-JAMMES	FR	12681193
95610	ERAGNY	FR	50959524
0	INCONNUE	FR	50194703
0	INCONNUE	FR	79650369
94430	CHENNEVIERE S/MARNE	FR	52555494
64000	PAU	FR	64937772
