CODE_POSTAL,VILLE,PAYS,LAT,LON
21121,FONTAINE LES DIJON,FRANCE,47.34985,5.022149
69270,FONTAINES SAINT MARTIN,FRANCE,45.844619,4.852347
92260,FONTENAY AUX ROSES,FRANCE,48.789776,2.287181
78330,FONTENAY LE FLEURY,FRANCE,48.810638,2.046222
78440,FONTENAY SAINT PÈRE,FRANCE,49.027329,1.757549
94120,FONTENAY SOUS BOIS,FRANCE,48.851542,2.475907
97261,FORT DE FRANCE,FRANCE,14.6051709,-61.0716727
97200,FORT-DE-FRANCE,FRANCE,14.6160647,-61.0587804
47510,FOULAYRONNES,FRANCE,44.2556467,0.6298922
31450,FOURQUEVAUX,FRANCE,43.504762,1.617736
83600,FRÉJUS,FRANCE,43.433152,6.737034
95740,FRÉPILLON,FRANCE,49.051616,2.208852
95130,FRANCONVILLE,FRANCE,48.986011,2.229632
,FRASCAT,ITALY,41.8085208,12.6761041
94260,FRESNES,FRANCE,48.757205,2.326243
80535,FRIVILLE CEDEX,FRANCE,50.081325,1.538648
31270,FROUZINS,FRANCE,43.514707,1.321622
12630,GAGES-MONTROZIER,FRANCE,44.406058,2.74682
,GAN SU LANZHOU,CHINE,36.061089,103.834303
,GANSHOREN,BELGIQUE,50.8729866,4.3093326
92380,GARCHES,FRANCE,48.846066,2.188703
78400,GARGENVILLE,FRANCE,48.991435,1.809326
78440,GARGENVILLE,FRANCE,48.991435,1.809326
64110,GELOS,FRANCE,43.285713,-0.372236
13420,GEMENOS,FRANCE,43.295388,5.628112
,GENEVE,SUISSE,46.2043907,6.1431577
,GENEVE 23,SUISSE,46.2010207,6.1407942
,GENEVE 3,SUISSE,46.196877,6.142828
92230,GENNEVILLIERS,FRANCE,48.925525,2.293275
94250,GENTILLY,FRANCE,48.8138999,2.344688
91191,GIF SUR YVETTE,FRANCE,48.701844,2.134078
27140,GISORS,FRANCE,49.279774,1.776579
28160,GOHORY,FRANCE,48.167166,1.228645
95500,GONESSE,FRANCE,48.9864632,2.4497721
22290,GOUDELIN,FRANCE,48.60301,-3.017289
93460,GOURNAY-SUR-MARNE,FRANCE,48.862978,2.575786
34790,GRABELS,FRANCE,43.647718,3.797514
33170,GRADIGNAN,FRANCE,44.774267,-0.618945
33176,GRADIGNAN CEDEX,FRANCE,44.774267,-0.618945
,GRASMERE  AMBLESIDE  CUMBRIA,ENGLAND,54.459734,-3.0243919
6130,GRASSE,FRANCE,43.660153,6.926492
40270,GRENADE SUR L ADOUR,FRANCE,43.773106,-0.431053
38000,GRENOBLE,FRANCE,45.188529,5.724524
38100,GRENOBLE,FRANCE,45.188529,5.724524
,GREVENKNAPP,LUXEMBOURG,49.76117,6.03393
78490,GROSROUVRE,FRANCE,48.7822249,1.760775
,GUIMARAES,PORTUGAL,41.44253,-8.2917857
33470,GUJAN MESTRAS,FRANCE,44.635731,-1.071189
,GUTERSLOH,ALLEMAGNE,51.9032375,8.3857535
78061,GUYANCOURT,FRANCE,48.762895,2.075323
78280,GUYANCOURT,FRANCE,48.762895,2.075323
78286,GUYANCOURT CEDEX,FRANCE,48.762895,2.075323
,HANGZHOU,CHINE,30.274084,120.15507
,HANGZHOU,CHINA,30.274084,120.15507
,HANOI,VIETNAM,21.0277644,105.8341598
95640,HARAVILLIERS,FRANCE,49.17334,2.055066
,HÖSBACH,DEUTSCHLAND,50.0029373,9.2009528
40280,HAUT-MAUCO,FRANCE,43.825243,-0.553888
,HAYES,UK,51.516758,-0.436786
95690,HEDOUVILLE,FRANCE,49.154803,2.169909
54180,HEILLECOURT,FRANCE,48.65233,6.197997
64700,HENDAYE,FRANCE,43.359399,-1.766148
95220,HERBLAY,FRANCE,48.990006,2.165493
64160,HIGUÈRES SOUYE,FRANCE,43.378126,-0.2597729
,HO CHI MINH CITY,VIETNAM,10.8230989,106.6296638
,HO CHI MINH CITY,VIET NAM,10.8230989,106.6296638
60430,HODENC-L'EVEQUE,FRANCE,49.33738,2.150156
27400,HONDOUVILLE,FRANCE,49.140068,1.119327
,HONG KONG,CHINE,22.3193039,114.1693611
